KIC 5613039,213,86,4.65,0.19
KIC 3853938,185,151,4.23,0.19
KIC 6221371,126,134,4.22,0.19
KIC 6293204,153,96,4.15,0.19
TYC 3120-376-1,368,33,3.49,0.19
Kepler-415,136,59,4.64,0.18
KIC 11819949,158,52,4.35,0.18
Kepler-564,213,41,4.26,0.18
KIC 6285848,136,92,4.2,0.18
[DCO2008] T-Lyr1-03925,121,26,4.17,0.18
KIC 8552365,233,22,4.15,0.18
KIC 9666621,126,87,4.13,0.18
TYC 3138-728-1,129,99,4.1,0.18
KIC 5446798,400,0,3.93,0.18
KIC 11073910,127,41,4.43,0.17
KIC 9575694,241,38,4.25,0.17
KIC 5966043,154,109,4.21,0.17
KIC 9392349,224,47,4.16,0.17
KIC 3750812,177,76,4.14,0.17
HD 176845,123,157,4.12,0.17
KIC 9653110,179,24,4.11,0.17
TYC 3139-2499-1,144,118,4.55,0.16
KIC 5682521,222,38,4.3,0.16
KIC 10685417,193,37,4.26,0.16
KIC 8245192,138,49,4.24,0.16
KIC 2969347,240,160,4.19,0.16
KIC 5360478,167,111,4.17,0.16
KIC 3649453,133,140,4.16,0.16
KIC 9840159,232,41,4.09,0.16
TYC 3141-3352-1,142,41,4.08,0.16
TYC 3142-1474-1,238,37,4,0.16
KIC 3946894,167,92,1.53,0.16
KIC 1572802,134,79,4.64,0.15
2MASS J19181278+3827081,150,47,4.63,0.15
KIC 5522608,135,116,4.6,0.15
KIC 6390424,194,25,4.31,0.15
KIC 2582166,133,104,4.2,0.15
KIC 8255015,220,39,4.19,0.15
KIC 5359857,179,155,4.18,0.15
KIC 10091543,257,34,4.17,0.15
KIC 5450680,191,141,4.16,0.15
KIC 7299808,174,116,4.15,0.15
BD+42 3451,159,119,4.1,0.15
KIC 8052695,124,86,4.07,0.15
TYC 3565-674-1,131,91,4,0.15
KIC 8126371,158,44,4,0.15
KIC 8364412,172,37,3.99,0.15
KIC 4764008,259,92,3.95,0.15
TYC 3140-568-1,172,88,3.94,0.15
KIC 11825198,241,166,3.87,0.15
HD 180374,125,125,3.79,0.15
KIC 10961247,151,77,1.6,0.15
KIC 5088644,174,122,4.6,0.14
KOI-2490,126,37,4.59,0.14
KIC 4636482,139,49,4.58,0.14
KIC 10026977,204,37,4.25,0.14
KIC 9906689,231,36,4.24,0.14
KIC 4566878,141,101,4.23,0.14
KIC 10545098,142,50,4.23,0.14
KIC 7373727,218,29,4.23,0.14
KIC 5767489,221,55,4.22,0.14
KIC 11240278,127,19,4.21,0.14
KIC 5467710,134,139,4.19,0.14
KIC 5966824,271,93,4.19,0.14
KIC 6365943,129,88,4.19,0.14
KIC 4372213,259,24,4.15,0.14
KIC 11455028,173,34,4.15,0.14
KIC 2984505,167,36,4.13,0.14
KIC 9111033,217,55,4.12,0.14
KIC 2859701,191,71,4.11,0.14
KIC 11517934,173,25,4.1,0.14
TYC 3138-941-1,380,28,4.08,0.14
KIC 6619469,235,111,4.08,0.14
TYC 3138-1184-1,165,66,4.08,0.14
KIC 6131060,170,133,4.07,0.14
KIC 6525026,147,91,4.07,0.14
KIC 5531657,124,70,4.06,0.14
KIC 11145063,184,36,4.06,0.14
KIC 10427093,176,35,4,0.14
TYC 3144-2192-1,353,62,3.99,0.14
KIC 6367159,149,67,3.99,0.14
KIC 8908544,124,82,3.98,0.14
KIC 8838620,136,49,3.96,0.14
KIC 5567711,159,101,3.95,0.14
TYC 3136-1401-1,127,80,3.94,0.14
TYC 3146-802-1,163,125,3.94,0.14
TYC 3148-1801-1,152,57,3.94,0.14
TYC 3560-3023-1,250,30,3.92,0.14
TYC 3136-301-1,190,54,3.85,0.14
KIC 10004660,229,48,3.81,0.14
KIC 10965642,132,61,4.61,0.13
2MASS J19271898+3708261,235,114,4.6,0.13
KIC 6611650,121,141,4.6,0.13
KIC 11128748,164,74,4.58,0.13
TYC 3541-331-1,122,24,4.23,0.13
KIC 5773914,221,137,4.23,0.13
KIC 6700200,250,34,4.21,0.13
