Kepler-210,238,33,12.314,0.003,4933,206,3.96,0.65,-0.23,0.17,13.822,0.100,4.267553097,0.015156281
HD 183204,292,50,1.0305,nan,10241,170,3.86,0.1,-0.27,0.11,7.508,0.100,4.2282,0.052
2MASS J19233258+4458282,195,71,28.58,2,4878,219,4.49,0.27,0.02,0.2,13.918,0.100,4.217636318,0.022382784
Kepler-126,8.7,1,7.333816952,0.116003927,6270,60,4.297,0.1,-0.164,0.04,10.5,0.100,4.183632259,0.029200821
KOI-2612,2.4,1,24.49963099,8.214097348,5543.5,60,4.273,0.1,0.32,0.04,11.83,0.100,4.103657577,0.024690144
KOI-5617,197,33,35.93,3.33,4748,155,3.96,0.59,0.07,0.16,13.511,0.100,4.064743455,0.014198153
Kepler-519,2.6,1,17.825,0.023,5347.3,60,4.657,0.1,0.176,0.04,12.63,0.100,4.026242252,0.02358716
KOI-99,0.4,1,25.84432014,3.461987327,4935.2,60,4.419,0.1,-0.284,0.04,12.96,0.100,3.98624007,0.019509764
KOI-4725,2.8,1,26.86292102,8.761512319,4824.7,60,4.491,0.1,-0.026,0.04,13.367,0.100,3.985506541,0.013927877
Kepler-1130,0.3,1,27.22163749,0.16601958,5401.9,60,4.54,0.1,0.182,0.04,12.404,0.100,3.981890435,0.028564965
Kepler-50,10,1,7.855914474,0.067628686,6162.2,60,4.138,0.1,-0.089,0.04,10.421,0.100,3.96961053,0.029542157
Kepler-352,3,1,15.983,0.02,5223.9,60,4.707,0.1,-0.112,0.04,12.957,0.100,3.927956815,0.021610025
Kepler-531,0.9,1,35.053,0.221,4934.6,60,4.619,0.1,0.049,0.04,13.34,0.100,3.927355348,0.012719622
Kepler-523,4.7,1,7.643,0.006,5528.7,60,4.72,0.1,0.105,0.04,12.465,0.100,3.919235101,0.025104919
KOI-2295,4.1,1,46.87371593,2.116522456,5429.7,60,4.531,0.1,-0.116,0.04,11.671,0.100,3.862935773,0.0200998
Kepler-114,3.1,1,34.549,0.12,4661.1,60,4.503,0.1,0.099,0.04,13.738,0.100,3.824242972,0.019278673
Kepler-992,2.8,1,25.953,0.023,4913.9,60,4.63,0.1,0.016,0.04,13.389,0.100,3.822612283,0.016074092
KOI-2801,3.6,1,24.96885125,2.463445801,6057,60,4.141,0.1,0.036,0.04,10.787,0.100,3.818452356,0.026222279
Kepler-113,2.2,1,26.86277416,3.344919107,4791.3,60,4.479,0.1,0.127,0.04,13.461,0.100,3.782793409,0.016038473
KOI-2001,3.1,1,16.362,0.02,5170,60,4.643,0.1,0.088,0.04,13.115,0.100,3.757905521,0.017442932
Kepler-381,7.2,1,10.24007764,0.197101751,6346.1,60,4.193,0.1,-0.157,0.04,10.421,0.100,3.712047136,0.023578002
Kepler-447,6.9,1,6.459,0.003,5620.4,60,4.686,0.1,0.073,0.04,12.394,0.100,3.702055395,0.025358526
Kepler-314,2.7,1,26.99453621,0.294907243,5439.6,60,4.449,0.1,0.384,0.04,12.557,0.100,3.690410364,0.024282989
BD+42 3451,159,119,1.811,nan,6228,215,4.1,0.15,-0.28,0.23,9.603,0.100,3.678023248,0.03245383
KOI-3179,2.3,1,18.67084669,0.770154074,5730.6,60,4.515,0.1,0.075,0.04,10.884,0.100,3.676288757,0.02742543
2MASS J18544660+4332242,196,27,25.07,3.31,5083,204,4.41,0.34,-0.03,0.16,13.816,0.100,3.647272788,0.016426342
KIC 9331032,221,53,30.497,5.682,5681,132,4.27,0.24,0.11,0.15,12.221,0.100,3.625946001,0.019393698
KOI-92,2.7,1,16.38177964,0.136356014,5922.6,60,4.394,0.1,0.086,0.04,11.667,0.100,3.621634835,0.024869134
Kepler-132,3.5,1,10.54806449,18.8661741,5909.6,60,4.414,0.1,-0.201,0.04,11.818,0.100,3.619691905,0.293658106
KOI-2686,2.6,1,22.059,0.086,4712.8,60,4.617,0.1,-0.049,0.04,13.855,0.100,3.618316677,0.01255186
KOI-3087,0.9,1,18.95683123,0.12041549,5319.8,60,4.547,0.1,0.276,0.04,12.837,0.100,3.595786642,0.02274066
Kepler-1349,4.2,1,17.39532211,2.518499282,5969.6,60,4.238,0.1,0.2,0.04,11.126,0.100,3.590233653,0.024628504
