Kepler-969,2,2.9,1,18.125,0.006,5243.3,60,4.632,0.1,0.151,0.04,13.733,0.1,2.532942582,0.016750573
Kepler-139,2,1.4,1,19.68477729,7.197231452,5630.5,60,4.284,0.1,0.349,0.04,12.701,0.1,2.528742817,0.027215528
Kepler-507,1,2.3,1,12.47727099,0.258017892,6030.1,60,4.235,0.1,0.141,0.04,11.994,0.1,2.524622889,0.020835467
Kepler-1141,1,3.3,1,22.18402266,0.328053694,5836.9,60,4.27,0.1,0.103,0.04,12.589,0.1,2.511736763,0.024171448
Kepler-652,1,0.6,1,27.70113436,0.239087262,5392.8,60,4.583,0.1,0.139,0.04,13.393,0.1,2.505643777,0.013659527
Kepler-463,1,0,1,19.71897053,3.587303406,5566.6,60,4.376,0.1,-0.353,0.04,12.87,0.1,2.504250976,0.022284701
Kepler-128,2,6.1,1,20.70437529,2.023823107,6081.2,60,4.091,0.1,-0.032,0.04,11.39,0.1,2.494212437,0.024696597
Kepler-775,1,0.7,1,27.84160228,5.173297629,5354.2,60,4.51,0.1,-0.038,0.04,13.507,0.1,2.479418655,0.013311515
Kepler-755,2,2.1,1,30.69143722,0.264226057,5066.8,60,4.576,0.1,0.084,0.04,13.999,0.1,2.477253139,0.016655594
Kepler-1542,4,1.1,1,19.23444019,4.610165213,5544.8,60,4.263,0.1,0.071,0.04,12.639,0.1,2.476914239,0.024410978
Kepler-910,1,10.1,1,7.087,0.021,6229.5,60,4.162,0.1,0.139,0.04,11.6,0.1,2.469842788,0.030315618
Kepler-322,2,2.5,1,18.991,0.012,5413.8,60,4.646,0.1,0.125,0.04,13.53,0.1,2.468167453,0.016217887
Kepler-104,3,0,1,18.03147417,8.322341619,5760.4,60,4.365,0.1,-0.422,0.04,12.596,0.1,2.466565391,0.027398365
Kepler-97,2,0,1,21.81447313,6.084759365,5772.9,60,4.454,0.1,-0.155,0.04,12.872,0.1,2.465629755,0.021744556
Kepler-1583,1,1.9,1,16.00242214,3.601250542,5471.2,60,4.253,0.1,-0.009,0.04,12.897,0.1,2.446846274,0.017663522
Kepler-271,3,0.6,1,21.63264473,2.81347411,5469.8,60,4.521,0.1,-0.174,0.04,13.404,0.1,2.44325871,0.023119462
Kepler-1027,1,3.5,1,20.582,0.013,5403.8,60,4.618,0.1,0.05,0.04,12.852,0.1,2.440050223,0.029735191
Kepler-129,2,2.9,1,29.86639933,4.862979359,5808.5,60,4.016,0.1,0.256,0.04,11.696,0.1,2.417322918,0.025846894
Kepler-1012,1,2.7,1,21.80534886,0.159467701,5500.2,60,4.527,0.1,0.231,0.04,13.317,0.1,2.403751106,0.013716946
Kepler-962,1,3.3,1,12.786,0.013,5450.2,60,4.679,0.1,0.049,0.04,13.576,0.1,2.40134377,0.013481363
Kepler-414,2,1.9,1,18.554,0.048,5566.6,60,4.568,0.1,0.181,0.04,13.338,0.1,2.389828433,0.017426471
Kepler-601,1,0.6,1,16.35265686,3.094479344,5048,60,4.5,0.1,-0.152,0.04,14.005,0.1,2.381780401,0.01394612
Kepler-1222,1,1.5,1,27.91085803,0.433791416,5065.4,60,4.587,0.1,-0.063,0.04,14.1,0.1,2.37960078,0.018516269
Kepler-1179,1,1,1,29.22688059,0.251527201,5132.5,60,4.635,0.1,-0.117,0.04,14.077,0.1,2.379583732,0.01464316
Kepler-1541,1,3.8,1,11.26349603,0.045636993,5210,60,4.565,0.1,-0.066,0.04,13.801,0.1,2.370982855,0.014493213
Kepler-1114,1,1.4,1,23.92409237,9.765475354,5268.8,60,4.549,0.1,-0.134,0.04,13.747,0.1,2.361150042,0.016189912
Kepler-124,3,1.3,1,1.099901407,0.137030655,4959.7,60,4.453,0.1,-0.462,0.04,14.139,0.1,2.351872023,0.017016704
Kepler-1081,1,1.7,1,32.85650385,0.747280202,5272.6,60,4.489,0.1,0.177,0.04,13.746,0.1,2.350896202,0.015601792
Kepler-136,2,9.6,1,7.609950343,0.166356411,6247.8,60,4.272,0.1,0.069,0.04,12.459,0.1,2.347762984,0.024344378
Kepler-888,1,0.4,1,22.37202547,3.277975504,5738.7,60,4.51,0.1,-0.321,0.04,13.046,0.1,2.347543525,0.017914422
Kepler-1285,1,7.4,1,8.759777477,0.079868063,6212.6,60,4.259,0.1,0.192,0.04,11.714,0.1,2.339377882,0.018609268
Kepler-334,3,2.4,1,16.675,0.115,5865.6,60,4.442,0.1,0.014,0.04,12.776,0.1,2.315545333,0.024271594
Kepler-845,1,2.3,1,16.3700849,0.625909499,4773,60,4.597,0.1,-0.114,0.04,14.631,0.1,2.2911,0.017492998
Kepler-18,3,0,1,16.40426249,5.496903596,5441,60,4.417,0.1,0.282,0.04,13.549,0.1,2.280431831,0.016835783
Kepler-190,2,1.7,1,29.985,0.172,5138.4,60,4.639,0.1,0.058,0.04,14.137,0.1,2.278544393,0.01452992
Kepler-161,2,2.4,1,28.56091797,0.205070526,5107.7,60,4.544,0.1,0.239,0.04,14.196,0.1,2.27197322,0.016170639
Kepler-390,2,1.8,1,25.2657512,12.06531459,5127.6,60,4.48,0.1,-0.113,0.04,13.942,0.1,2.268660359,0.019510528
Kepler-28,2,3.8,1,17.951,0.016,4674.4,60,4.588,0.1,0.017,0.04,15.036,0.1,2.252651287,0.024121142
Kepler-537,1,0.7,1,23.77247862,0.16605154,5697,60,4.426,0.1,0.143,0.04,13.1,0.1,2.246926691,0.012260035
Kepler-152,2,1.7,1,16.71978529,1.506274176,5065.2,60,4.608,0.1,-0.117,0.04,14.29,0.1,2.238278943,0.016004122
KIC 9140459,0,264,29,18.521,0.051,5675,123,4.26,0.22,-0.11,0.21,13.512,0.1,2.222844906,0.013734732
Kepler-106,4,0.6,1,22.50717304,3.829505497,5859.7,60,4.361,0.1,-0.088,0.04,12.882,0.1,2.222332077,0.030260231
Kepler-95,1,0.9,1,34.15676529,8.283185049,5653.8,60,4.09,0.1,0.268,0.04,12.346,0.1,2.215420313,0.028536592
Kepler-782,1,1,1,15.05381831,3.281801021,5683.5,60,4.356,0.1,-0.221,0.04,12.783,0.1,2.20944832,0.028544034
