KIC 2860930,138,89,0.856,0.018,-0.018
Kepler-30,2.3,1,0.856,0.029,-0.027
Kepler-1277,1.3,1,0.854,0.019,-0.017
Kepler-598,1,1,0.85,0.021,-0.02
KOI-4018,1.8,1,0.846,0.023,-0.022
KOI-3358,2.6,1,0.846,0.019,-0.018
Kepler-629,0.6,1,0.841,0.015,-0.015
Kepler-1600,1.5,1,0.84,0.033,-0.03
TYC 3139-2499-1,144,118,0.826,0.015,-0.014
Kepler-1139,2.5,1,0.826,0.016,-0.015
Kepler-964,4.5,1,0.823,0.016,-0.016
KOI-4774,1.5,1,0.819,0.016,-0.015
Kepler-156,2.6,1,0.819,0.015,-0.015
KOI-4746,4.6,1,0.812,0.063,-0.052
KOI-3075,0.1,1,0.808,0.011,-0.011
KIC 4750751,133,97,0.802,0.016,-0.015
KIC 5027063,154,97,0.8,0.016,-0.015
Kepler-475,1.3,1,0.796,0.014,-0.013
Kepler-472,2.9,1,0.794,0.013,-0.013
Kepler-305,2,1,0.792,0.025,-0.024
Kepler-1107,3.6,1,0.792,0.015,-0.014
KIC 5088644,174,122,0.788,0.049,-0.041
Kepler-240,2.8,1,0.781,0.02,-0.018
Kepler-975,2.8,1,0.778,0.013,-0.013
Kepler-239,1.7,1,0.772,0.02,-0.018
Kepler-1164,3.1,1,0.77,0.011,-0.01
Kepler-306,2.2,1,0.769,0.023,-0.022
Kepler-261,3.3,1,0.766,0.013,-0.013
Kepler-237,2,1,0.766,0.019,-0.019
KOI-3936,5.8,1,0.764,0.012,-0.012
KIC 3850643,175,96,0.758,0.02,-0.02
Kepler-479,0.6,1,0.758,0.012,-0.012
KIC 5522608,135,116,0.755,0.016,-0.016
KOI-1590,2.9,1,0.754,0.052,-0.045
KIC 4636482,139,49,0.752,0.016,-0.015
Kepler-489,1.9,1,0.752,0.014,-0.013
Kepler-169,2.7,1,0.75,0.013,-0.013
Kepler-1566,0.9,1,0.744,0.015,-0.014
2MASS J19271898+3708261,235,114,0.741,0.019,-0.032
Kepler-263,2.1,1,0.737,0.021,-0.019
KOI-3864,4.4,1,0.736,0.012,-0.012
KOI-1803,2.8,1,0.736,0.012,-0.011
KOI-2393,1.1,1,0.727,0.018,-0.018
KOI-1619,2.7,1,0.724,0.012,-0.012
Kepler-786,2.3,1,0.721,0.015,-0.015
KIC 1436140,268,95,0.72,0.029,-0.031
KOI-2120,2.7,1,0.719,0.014,-0.013
Kepler-1521,4.9,1,0.716,0.014,-0.014
KOI-4841,2.7,1,0.715,0.027,-0.028
KOI-2084,223,86,0.715,0.015,-0.015
KOI-2763,2.9,1,0.714,0.016,-0.016
KIC 5462650,169,51,0.712,0.026,-0.025
KIC 3956991,166,84,0.704,0.013,-0.013
Kepler-80,3.5,1,0.701,0.012,-0.012
Kepler-543,3.2,1,0.7,0.012,-0.012
KIC 5467710,134,139,0.698,0.02,-0.027
KOI-2490,126,37,0.697,0.021,-0.02
KOI-1546,4.9,1,0.683,0.012,-0.02
Kepler-304,3.5,1,0.679,0.015,-0.015
KOI-5153,142,53,0.677,0.011,-0.011
KOI-5039,1.7,1,0.675,0.026,-0.024
Kepler-159,4.4,1,0.673,0.012,-0.012
KIC 1026474,260,133,0.665,0.02,-0.022
KIC 1720673,281,83,0.651,0.015,-0.015
Kepler-158,2.6,1,0.648,0.012,-0.012
KIC 4929016,138,81,0.644,0.009,-0.007
KIC 3957292,157,102,0.643,0.017,-0.017
KIC 5446821,230,119,0.641,0.015,-0.014
KIC 5708183,225,64,0.64,0.017,-0.025
KIC 3736208,167,120,0.636,0.02,-0.023
KIC 5613039,213,86,0.634,0.012,-0.013
KIC 5353192,194,79,0.629,0.023,-0.025
KIC 3946894,167,92,0.628,0.017,-0.017
KIC 1572802,134,79,0.622,0.018,-0.018
KIC 4633585,134,98,0.621,0.017,-0.018
KIC 4471819,131,73,0.606,0.017,-0.017
KIC 1721911,200,145,0.606,0.015,-0.015
KIC 5716073,232,67,0.604,0.018,-0.019
KIC 4994641,193,98,0.599,0.017,-0.017
2MASS J19181278+3827081,150,47,0.598,0.011,-0.01
Kepler-415,136,59,0.595,0.015,-0.015
KIC 4728952,248,95,0.579,0.016,-0.016
KIC 3748918,271,134,0.579,0.015,-0.015
2MASS J19272164+3659509,167,107,0.576,0.015,-0.015
KIC 1873543,284,84,0.574,0.015,-0.015
KIC 4648234,141,99,0.573,0.015,-0.015
KIC 4735754,170,117,0.569,0.015,-0.014
KIC 4655612,212,127,0.55,0.018,-0.023
KIC 2301872,136,88,0.547,0.014,-0.014
KIC 4551429,261,117,0.542,0.014,-0.013
KIC 1435229,277,116,0.542,0.03,-0.025
KIC 5266549,313,66,0.536,0.014,-0.014
KIC 3550668,254,114,0.51,0.013,-0.012
KIC 3449953,269,124,0.507,0.012,-0.012
KIC 4818089,282,92,0.493,0.012,-0.012
KIC 3534089,357,67,0.489,0.012,-0.012
KIC 4346809,387,20,0.47,0.011,-0.011
KIC 5602310,325,96,0.464,0.013,-0.012
KIC 4731525,265,115,0.4,0.009,-0.009
LSPM J1920+4039,214,94,0.373,0.008,-0.009
