Name,vsini,e_vsini,prot,e_prot,Teff,e_Teff,Logg,e_Logg,FeH,e_FeH,Kepler Mag,e_Kepler Mag,Parallax,e_Parallax,iso_rad,iso_rad_err1,iso_rad_err2
KIC 5359857,179,155,8.551,0.927,5996,192,4.18,0.15,-0.33,,13.873,0.1,0.999590893,0.01732451,1.308,0.036,-0.035
KIC 5353192,194,79,36.838,0.206,4052,156,4.66,0.2,-0.21,,15.221,0.1,2.854446093,0.023716938,0.629,0.023,-0.025
KIC 5300719,184,55,1.178,0.019,6986,249,4.02,0.13,-0.04,,12.956,0.1,0.47841939,0.021254232,4.135,0.212,-0.2
KIC 5297474,122,80,41.506,0.193,6146,90,4.09,0.12,-0.07,,13.54,0.1,0.812424378,0.017197727,1.975,0.055,-0.054
KIC 5266549,313,66,15.527,0.035,3893,127,2.13,0.68,-0.16,,15.774,0.1,3.41090151,0.028975355,0.536,0.014,-0.014
KIC 5207271,155,124,17.71,0.399,5651,157,4.22,0.26,-0.34,,14.817,0.1,0.852964527,0.048314644,1.156,0.068,-0.062
KIC 5165870,163,29,3.322,0.003,6171,84,4.1,0.13,-0.16,,13.862,0.1,0.629657433,0.016675868,2.194,0.073,-0.069
KIC 5121003,210,133,3.394,0.006,6239,260,4.1,0.13,-0.15,,13.518,0.1,0.954529198,0.023251251,1.761,0.055,-0.054
KIC 5088644,174,122,24.499,0.686,5211,118,4.6,0.14,0.01,,14.785,0.1,1.62832562,0.13573322,0.788,0.049,-0.041
KIC 5027063,154,97,11.014,0.014,5274,122,4.47,0.27,-0.13,,13.83,0.1,2.344753656,0.01952794,0.8,0.016,-0.015
KIC 4994641,193,98,23.104,1.715,4119,257,4.62,0.12,-0.22,,15.446,0.1,3.229785811,0.026281421,0.599,0.017,-0.017
KIC 4929016,138,81,11.69,0.85,4035,157,4.59,0.23,-0.22,,13.702,0.1,4.59952925,0.060052446,0.644,0.009,-0.007
KIC 4914239,195,163,22.085,0.826,5386,163,4.48,0.24,0,,14.989,0.1,1.122141611,0.025933819,0.935,0.032,-0.03
KIC 4907633,142,41,8.951,0.097,5173,136,4.61,0.12,0.08,,15.412,0.1,0.904982151,0.023852491,1.156,0.041,-0.039
KIC 4818089,282,92,43.62,4.47,3736,192,1.6,0.73,-0.18,,15.421,0.1,5.009581263,0.03032946,0.493,0.012,-0.012
KIC 4772421,163,63,3.2,,9152,444,3.87,0.13,-0.22,,13.672,0.1,0.424980354,0.021191851,2.224,0.121,-0.119
KIC 4764008,259,92,6.765,,7836,238,3.95,0.15,-0.12,,13.842,0.1,0.357132673,0.019826483,2.788,0.159,-0.15
KIC 4751196,137,59,19.489,0.529,5867,63,4.26,0.12,0.01,,12.419,0.1,1.378822515,0.027921182,2.006,0.055,-0.054
KIC 4750751,133,97,33.572,8.067,5034,165,3.69,0.55,-0.11,,13.967,0.1,2.144348487,0.019385679,0.802,0.016,-0.015
KIC 4735754,170,117,20.429,0.014,3876,155,4.08,0.96,-0.21,,14.28,0.1,6.538863854,0.019475082,0.569,0.015,-0.014
KIC 4731525,265,115,44.763,0.199,3497,115,0.9,0.35,-0.1,,14.06,0.1,13.4933916,0.023695322,0.4,0.009,-0.009
KIC 4728952,248,95,26.417,0.102,4072,178,4.63,0.21,-0.23,,15.333,0.1,3.540702067,0.025668616,0.579,0.016,-0.016
KIC 4658442,174,35,1.472,,7255,107,4.02,0.11,-0.02,,13.422,0.1,0.728316203,0.01586642,1.763,0.054,-0.051
