Simbad,vsini,e_vsini
TYC 9187-90-1,7.621645333,0.465979895
TYC 9187-900-1,6.801622167,0.466093594
TYC 9187-898-1,9.575981608,0.554372297
TYC 9187-858-1,5.278424762,0.520760748
TYC 9187-767-1,5.796872894,1.18064854
TYC 9187-728-1,10.4499696,1.517604266
TYC 9187-668-1,8.380103377,0.553285041
TYC 9187-572-1,6.164830333,0.808136331
TYC 9187-531-1,9.341283247,0.472418078
TYC 9187-53-1,16.57260304,0.525635773
TYC 9187-367-1,7.262408058,0.734008018
TYC 9187-339-1,8.604147775,0.475507452
TYC 9187-294-1,5.272091581,0.486210827
TYC 9187-28-1,5.123405022,1.176023044
TYC 9187-214-1,5.988307078,0.475356118
TYC 9187-212-1,7.367032076,1.632745125
TYC 9187-170-1,23.85333104,0.520124342
TYC 9187-154-1,7.711985726,0.769246407
TYC 9187-1337-1,6.377558262,0.739438613
TYC 9187-1244-1,7.675103114,0.713755819
TYC 9187-1152-1,6.848093029,0.546690936
TYC 9187-1104-1,7.469373895,0.477309155
TYC 9187-1047-1,5.70013349,0.476720084
TYC 9187-1044-1,11.14997684,0.521002483
TYC 9187-104-1,4.504230171,2
TYC 9187-1011-1,13.85768873,0.644337351
TYC 9186-99-1,4.713812492,0.46484926
TYC 9186-967-1,11.46213715,0.487026932
TYC 9186-960-1,10.20851299,2
TYC 9186-887-1,11.40846473,2
TYC 9186-855-1,9.639831554,2
TYC 9186-782-1,6.015450599,0.465473322
TYC 9186-765-1,10.71988719,2
TYC 9186-736-1,5.385811488,0.470958375
TYC 9186-710-1,13.8452726,1.632378773
TYC 9186-683-1,20.6218616,2
TYC 9186-672-1,5.750466963,0.825234568
TYC 9186-660-1,11.67284151,2
TYC 9186-658-1,6.469511314,2
TYC 9186-526-1,6.225106056,0.59986359
TYC 9186-522-1,7.472636252,0.476347555
TYC 9186-498-1,8.017262637,0.465586451
TYC 9186-476-1,5.3404105,1.177999908
TYC 9186-430-1,4.335475281,0.505431185
TYC 9186-420-1,7.536946637,0.46601999
TYC 9186-39-1,5.667764819,0.46524538
TYC 9186-184-1,5.150539788,0.484715893
TYC 9186-179-1,21.7172489,0.46639641
TYC 9186-172-1,8.818281875,0.477801058
TYC 9186-170-1,10.25127365,0.613492126
TYC 9186-161-1,5.963465978,0.596080347
TYC 9186-150-1,15.38732015,0.467830411
TYC 9186-142-1,6.104019094,0.470275579
TYC 9186-1057-1,5.974268913,2
TYC 9185-857-1,5.283775649,0.82210434
TYC 9185-821-1,6.125998217,0.645683059
TYC 9185-789-1,6.389398244,2
TYC 9185-782-1,5.697333115,2
TYC 9185-68-1,8.412178662,1.173296349
TYC 9185-663-1,6.519595498,2
TYC 9185-647-1,4.881077049,0.578245074
TYC 9185-625-1,7.170235868,0.510864407
TYC 9185-613-1,9.128148758,0.90991091
TYC 9185-527-1,9.96278257,0.802906625
TYC 9185-517-1,6.351889138,0.632821827
TYC 9185-487-1,6.579251212,0.46912734
TYC 9185-414-1,6.942230206,2
TYC 9185-352-1,9.39279906,0.564838259
TYC 9185-320-1,6.626986989,0.982496194
TYC 9185-30-1,6.3151604,2
TYC 9185-198-1,7.192593028,1.316133029
TYC 9185-191-1,7.668209433,0.635345142
TYC 9185-188-1,7.280363646,0.951304023
TYC 9185-172-1,8.895458979,0.611749989
TYC 9185-153-1,6.947702507,2
TYC 9185-149-1,5.059477606,1.491168652
TYC 9185-144-1,9.620518076,1.242453994
TYC 9185-1159-1,7.394908738,0.873211045
TYC 9185-1113-1,17.73161105,2
TYC 9185-1104-1,4.35448532,2
TYC 9185-1083-1,4.578905344,0.488610774
TYC 9185-1022-1,9.738663431,2
TYC 9184-841-1,8.105561513,1.260674498
TYC 9184-750-1,5.182870799,0.478279124
TYC 9184-434-1,17.01819214,1.615628203
TYC 9184-27-1,6.655664253,1.23778531
TYC 9184-2183-1,4.380142836,0.680764866
TYC 9184-1597-1,5.409904782,1.763088921
TYC 9184-142-1,7.517456904,0.846076156
TYC 9184-1394-1,7.169328914,0.54258281
TYC 9184-132-1,7.829399834,0.608966628
TYC 9184-1313-1,8.055747346,1.162561102
TYC 9184-1312-1,5.994516085,0.70159755
TYC 9184-1278-1,6.599757189,0.733209428
TYC 9184-1268-1,10.60547407,0.669896464
TYC 9184-1204-1,9.082482151,0.728509359
TYC 9184-1191-1,8.723533715,0.510817624
TYC 9184-1081-1,7.348121365,0.617573865
TYC 9184-1051-1,10.55383218,1.488911062
TYC 9183-99-1,5.881581651,0.565171619
TYC 9183-942-1,8.381729119,0.613263874
TYC 9183-828-1,6.668810664,0.62844078
TYC 9183-8-1,19.94050943,0.530585606
TYC 9183-726-1,18.93790965,2
TYC 9183-723-1,4.397367057,0.466494247
