Name,Prot,e_prot
KIC 8015698,36.17,4.71
KIC 8008547,14.99,0.5
KIC 8007621,15,1.43
KIC 8006705,32.38,3.02
KIC 8006454,4.81,0.35
KIC 8006448,4.81,0.34
KIC 8005657,22.42,1.61
KIC 8004724,19.12,1.59
KIC 7975840,11.06,0.4
KIC 7972301,23.05,1.95
KIC 7960999,35.68,6
KIC 7944721,27.04,2.23
KIC 7938378,12.35,1.06
KIC 7937603,8.98,0.64
KIC 7936152,20.22,2.15
KIC 7904285,42.74,5.86
KIC 7889975,20.31,2.35
KIC 7873230,15.53,1.43
KIC 7872644,14.39,0.96
KIC 7869679,27.04,2
KIC 7868756,17.35,1.5
KIC 7868232,27.42,2.48
KIC 7867762,24.71,2.48
KIC 7835639,9.97,0.83
KIC 7835599,9.5,0.9
KIC 7833489,30,2.93
KIC 7822257,11.29,1.01
KIC 7822143,36.94,6.91
KIC 7821690,24.54,3.48
KIC 7808028,33.06,3.21
KIC 7807971,17.84,1.66
KIC 7807740,29.18,2
KIC 7801869,20.77,1.54
KIC 7800089,20.49,1.9
KIC 7799847,8.54,0.79
KIC 7798061,16.76,0.9
KIC 7797613,23.87,2.43
KIC 7797516,15.42,1.74
KIC 7752101,13.71,1.08
KIC 7734578,31.06,4.6
KIC 7732351,39.59,5.52
KIC 7732340,17,1.43
KIC 7694986,21.95,2.67
KIC 7694075,18.34,1.57
KIC 7691504,12.66,1.1
KIC 7669089,14.9,1.06
KIC 7668390,143.04,
KIC 7662653,31.71,2.51
KIC 7620560,13.24,1.13
KIC 7619948,28.98,2.51
KIC 7610057,2.43,2.83
KIC 7604936,25.06,3.26
KIC 7592902,7.54,0.44
KIC 7591430,12.02,0.9
KIC 7585442,15,0.91
KIC 7581153,11.45,0.87
KIC 7539973,34.22,3.35
KIC 7524461,17.72,1.74
KIC 7512061,10.98,0.87
KIC 7503615,9.5,0.8
KIC 7465959,20.07,1.61
KIC 7461951,45.48,8.13
KIC 7450182,45.16,6.06
KIC 7440979,23.7,2.36
KIC 7438981,27.61,4.32
KIC 7428919,29.59,3.4
KIC 7421581,23.05,2.97
KIC 7420221,36.43,3.77
KIC 7420017,34.46,1.47
KIC 7419076,24.71,2.18
KIC 7418228,19.12,1.74
KIC 7418046,21.21,2.42
KIC 7369973,21.36,1.83
KIC 7358306,30.21,3.63
KIC 7352318,18.59,1.35
KIC 7349933,33.94,2.54
KIC 7347470,35.43,4.41
KIC 7340794,16.53,1.77
KIC 7339137,33.75,3.53
KIC 7289427,30.63,3.4
KIC 7289007,39.3,4.17
KIC 7287850,40.42,4.08
KIC 7273208,33.33,4.44
KIC 7268202,17.45,1.29
KIC 7268095,21.66,1.79
KIC 7265390,103.88,
KIC 7265373,17.35,1.71
KIC 7258982,25.58,2.46
KIC 7256125,4.08,0.28
KIC 7255871,16.3,1.96
KIC 7255494,22.43,2.15
KIC 7200833,18.09,0.69
KIC 7198102,30.21,5.37
KIC 7183584,3.43,0.24
KIC 7135288,23.22,3.05
KIC 7122498,19.39,1.58
KIC 7122176,39.86,3.04
KIC 7115390,12.19,1.1
KIC 7102366,62.55,4.8
KIC 7091639,18.02,1.79
KIC 7050907,23.7,2.12
KIC 7041041,4.08,0.29
KIC 7017901,18.69,2.16
KIC 7014972,32.6,3.58
KIC 7013335,29.59,2.84
KIC 6974228,5.81,0.44
KIC 6966224,21.08,1.65
KIC 6950800,27.61,2.34
KIC 6945073,13.33,1
KIC 6927946,30.85,3.33
KIC 6922049,25.05,1.78
KIC 6887968,22.74,2.17
KIC 6865644,19.52,2.08
KIC 6863065,19.52,1.76
KIC 6850818,15.86,1.74
KIC 6839270,27.8,2.83
KIC 6784660,80.83,7.78
KIC 6779927,36.93,3.57
KIC 6755500,17.11,1.31
KIC 6721982,31.93,5.16
KIC 6695770,16.76,1.45
KIC 6692317,15.53,2.89
KIC 6676517,55.98,4.36
KIC 6670624,35.92,2.03
KIC 6665250,26.67,2.14
KIC 6664904,25.94,2.52
KIC 6585252,40.7,4.78
KIC 6580019,1.76,0.12
KIC 6579355,17.63,1.98
KIC 6515078,14.59,1.19
KIC 6511368,22.27,2.38
KIC 6509710,24.2,2.08
KIC 6504962,24.88,2.91
KIC 6504129,15,1.06
KIC 6502413,23.7,2.06
KIC 6444432,3.09,0.22
KIC 6422953,18.58,0.68
KIC 6371865,27.42,4.06
KIC 6364924,27.99,2.11
KIC 6362397,37.7,4.15
KIC 6345207,40.14,3.48
KIC 6343726,40.42,4.33
KIC 6281323,20.63,1.85
KIC 6277706,22.73,2.17
KIC 6273415,23.38,2.22
KIC 6271549,15.31,1.11
KIC 6267051,25.05,2.29
KIC 6263060,24.37,2.11
KIC 6209679,32.38,3.17
KIC 6209585,89.07,6.7
KIC 6207046,22.58,2.34
KIC 6191317,42.43,4.89
KIC 6188126,41.27,4.16
KIC 6187322,20.81,1.55
KIC 6185019,18.73,1.97
KIC 6182518,16.64,1.92
KIC 6116888,16.64,1.29
KIC 6104993,21.96,2.3
KIC 6104910,18.6,2.02
KIC 6104587,30.85,3.26
KIC 6102556,31.28,4.06
KIC 6099637,31.27,2.14
KIC 6099502,94.81,10.39
KIC 6041411,13.71,1.05
KIC 6024250,17.36,2.48
KIC 5987444,35.68,4.5
KIC 5967315,29.79,3.42
KIC 5965052,22.89,1.81
KIC 5962144,27.04,2.96
KIC 5943513,24.88,3.37
KIC 5943385,103.56,
KIC 5943305,23.87,1.98
KIC 5943072,32.38,3.75
KIC 5942773,17.35,1.43
KIC 5942138,16.34,1.64
KIC 5941047,14.39,1.25
KIC 5937488,23.87,1.89
KIC 5900253,24.37,3.55
KIC 5891455,46.09,5.87
KIC 5887803,36.69,5.43
KIC 5870867,20.92,2.94
KIC 5859478,33.29,3.19
KIC 5779070,36.94,4.13
KIC 5772694,14.9,1.11
KIC 5771761,24.87,0.92
KIC 5734009,44.22,3.62
KIC 5695579,24.03,0.97
KIC 5694260,9.53,0.62
KIC 5689962,18.61,1.55
