Name,P_rot,P_rot_err,Prot_errm,Prot_errp
Kepler-1179,29.22688059,,0.246112202,0.2569422
Kepler-1169,12.566,0.161,,
Kepler-1164,11.367,0.002,,
Kepler-1139,26.893,0.058,,
Kepler-1130,27.22163749,,0.165869157,0.166170002
Kepler-1121,7.425,0.128,,
Kepler-111,16.957,0.105,,
Kepler-1107,17.985,0.019,,
Kepler-1104,4.192,0.004,,
Kepler-1103,10.978,0.045,,
Kepler-1088,13.874,0.018,,
Kepler-1071,16.887,0.01,,
Kepler-1070,10.714,0.032,,
Kepler-1068,17.598,0.106,,
Kepler-1067,17.422,0.024,,
Kepler-1066,7.043,0.008,,
Kepler-1061,9.829404036,,0.049299262,0.049321054
Kepler-1055,11.823,0.006,,
Kepler-1050,15,0.043,,
Kepler-105,16.846,0.15,,
Kepler-1046,10.06696593,,0.050997085,0.052423486
Kepler-1040,18.792,0.033,,
Kepler-1036,22.065,0.03,,
Kepler-1035,33.935,0.079,,
Kepler-1027,20.582,0.013,,
Kepler-102,26.572,0.153,,
Kepler-1017,14.28479186,,0.576595986,2.330452736
Kepler-1012,21.80534886,,0.149673473,0.169261928
Kepler-1008,21.036,0.042,,
Kepler-1002,6.398,0.002,,
Kepler-1001,19.836,0.034,,
Kepler-100,25.77849181,,0.584712126,0.840053712
HD 179070,12.591,0.036,,
HD 176693,12.444,0.172,,
HD 175289,20.85,0.007,,
BD+47 2936,29.472,0.134,,
BD+46 2597,6.269,0.002,,
BD+45 2960,10.847,0.002,,
BD+40 3638,7.897235578,,0.047388707,0.045089912
V* V746 Lyr,2.163,,,
V* V616 Lyr,16.681,,,
V* V613 Lyr,11.717,,,
V* V607 Lyr,14.733,,,
V* V2095 Cyg,2.01,,,
USNO-A2.0 1275-13295806,8.083,,,
USNO-A2.0 1275-13213893,4.07,,,
USNO-A2.0 1275-13184245,5.391,,,
USNO-A2.0 1275-13163118,6.354,,,
UCAC4 691-064714,4.624,,,
UCAC4 672-080669,4.886,,,
UCAC4 672-080641,18.387,,,
UCAC4 671-082954,6.44,,,
UCAC4 671-082920,7.289,,,
UCAC4 671-082807,11.265,,,
UCAC4 671-082647,11.567,,,
UCAC4 671-082644,13.917,,,
UCAC4 671-082452,13.885,,,
UCAC4 671-082445,3.892,,,
UCAC4 653-083234,8.107,,,
UCAC4 653-082848,3.842,,,
UCAC4 653-081422,11.658,,,
UCAC4 643-069377,2.297,,,
UCAC4 636-069758,4.688,,,
UCAC2 45029735,9.817,,,
TYC 3569-601-1,4.558,,,
TYC 3569-598-1,3.342,,,
TYC 3569-533-1,3.632,,,
TYC 3569-42-1,6.381,,,
TYC 3569-388-1,16.882,,,
TYC 3569-284-1,1.835,,,
TYC 3569-276-1,15.941,,,
TYC 3569-262-1,1.99,,,
