Name,vsini,e_vsini,prot,e_prot,e_prot(L),e_prot(U)
TYC 3162-1062-1,249,84,,,,
TYC 3158-682-1,239,79,,,,
TYC 3158-1847-1,317,53,,,,
TYC 3158-1756-1,202,67,,,,
TYC 3154-1271-1,241,66,,,,
TYC 3149-916-1,229,86,,,,
TYC 3149-863-1,137,99,,,,
TYC 3149-788-1,127,90,,,,
TYC 3149-461-1,197,60,,,,
TYC 3149-428-1,134,90,,,,
TYC 3149-306-1,215,53,,,,
TYC 3149-262-1,120,91,,,,
TYC 3149-2143-1,172,62,,,,
TYC 3149-1793-1,379,22,,,,
TYC 3149-1782-1,250,64,,,,
TYC 3149-1627-1,184,46,,,,
TYC 3149-1519-1,146,105,,,,
TYC 3149-1271-1,230,58,,,,
TYC 3149-126-1,243,83,,,,
TYC 3149-1207-1,255,66,,,,
TYC 3149-1074-1,129,98,,,,
TYC 3148-902-1,210,51,,,,
TYC 3148-706-1,282,47,,,,
TYC 3148-602-1,130,100,,,,
TYC 3148-589-1,159,47,,,,
TYC 3148-576-1,195,60,,,,
TYC 3148-431-1,169,51,,,,
TYC 3148-2273-1,121,89,,,,
TYC 3148-1801-1,152,57,,,,
TYC 3148-1773-1,284,84,,,,
TYC 3148-1757-1,122,36,,,,
TYC 3148-1628-1,145,53,,,,
TYC 3148-1420-1,268,25,,,,
TYC 3148-1402-1,229,27,,,,
TYC 3148-1400-1,141,42,,,,
TYC 3148-1286-1,250,73,,,,
TYC 3148-1229-1,249,34,,,,
TYC 3147-411-1,241,40,,,,
TYC 3147-1866-1,159,48,,,,
TYC 3147-156-1,139,120,,,,
TYC 3146-863-1,143,39,,,,
TYC 3146-824-1,142,66,,,,
TYC 3146-802-1,163,125,,,,
TYC 3146-513-1,244,56,,,,
TYC 3146-333-1,149,75,,,,
TYC 3146-191-1,191,75,,,,
TYC 3146-1441-1,277,86,,,,
TYC 3146-1148-1,251,63,,,,
TYC 3145-620-1,142,97,,,,
TYC 3145-48-1,252,75,,,,
TYC 3145-319-1,134,95,,,,
