Name,prot,e_prot
KIC 11924264,22.877,0.207
KIC 10983635,22.877,0.056
KIC 4919190,22.844,0.076
KIC 3830954,22.842,0.032
KIC 5543966,22.835,0.267
KIC 9578763,22.823,0.027
KIC 10579337,22.822,0.292
KIC 4255241,22.812,0.088
KIC 8307712,22.806,0.033
KIC 5647432,22.797,0.106
KIC 1865206,22.79,0.434
KIC 11870216,22.786,0.101
KIC 5018572,22.779,0.642
KIC 10139448,22.759,0.16
KIC 3329431,22.741,0.206
KIC 4352629,22.729,0.059
[HGM2009b] WOCS 011037,22.711,0.018
KIC 8123314,22.709,0.263
KIC 3849705,22.708,0.107
KIC 10213448,22.708,0.041
KIC 10258853,22.703,0.011
KIC 8474556,22.671,0.612
KIC 6680640,22.669,0.055
KIC 5457388,22.666,0.204
KIC 8410950,22.664,0.049
KIC 6045384,22.653,0.095
KIC 5363995,22.648,1.037
KIC 9151664,22.647,0.301
KIC 8278669,22.642,0.303
KIC 10793290,22.64,0.078
KIC 6117778,22.617,0.171
KIC 8609752,22.607,0.598
KIC 7459119,22.604,0.087
KIC 8428737,22.594,0.117
KIC 8605400,22.584,0.083
KIC 9368873,22.582,0.104
KIC 9285996,22.575,0.276
KIC 6129022,22.565,0.064
KIC 5273131,22.561,0.125
KIC 8349311,22.558,0.122
KIC 7626758,22.549,4.547
KIC 12207328,22.542,0.281
KIC 7698079,22.53,0.075
KIC 10262694,22.527,0.244
KIC 6708043,22.523,0.299
KIC 9673750,22.512,0.055
KIC 10199556,22.509,0.186
KIC 10059380,22.499,0.163
KIC 11401438,22.489,0.396
KIC 7902501,22.479,0.121
KIC 12159742,22.477,0.052
KIC 8039900,22.475,0.152
KIC 9279388,22.452,0.132
KIC 11509020,22.45,0.085
KIC 5717638,22.449,0.097
KIC 8710889,22.431,0.063
KIC 8759094,22.425,1.287
KIC 9603679,22.423,0.25
KIC 7118340,22.423,0.208
KOI-6691,22.398,0.131
KIC 9271789,22.396,0.114
KIC 8424645,22.393,0.052
KIC 10323994,22.386,0.052
KIC 4770187,22.385,0.026
TYC 3560-1324-1,22.381,0.319
KIC 9347432,22.366,0.052
KIC 7943846,22.36,0.028
KIC 6870503,22.352,0.219
KIC 8979743,22.347,0.03
KIC 6043337,22.342,0.936
KIC 11092794,22.332,0.171
KIC 8895765,22.325,0.114
KIC 11303402,22.309,0.054
KIC 6875207,22.308,0.194
KIC 9637631,22.297,0.079
KIC 10529126,22.28,0.267
KIC 5811127,22.278,0.068
KIC 5953966,22.274,0.04
KOI-5162,22.27,0.21
2MASS J19550246+4415581,22.269,0.031
KIC 8631563,22.268,0.403
KOI-5574,22.261,0.122
KIC 7686976,22.259,0.038
KIC 10658293,22.24,0.092
KIC 7810120,22.228,0.042
KIC 10091612,22.214,3.159
KIC 7123036,22.213,0.097
KIC 8029710,22.207,0.287
KIC 7624946,22.205,0.04
KIC 5106436,22.196,0.043
KIC 10092728,22.196,0.094
KIC 10228271,22.192,0.183
KIC 1432745,22.189,0.219
KIC 2998208,22.168,0.204
KIC 6047663,22.166,0.202
KIC 4741565,22.159,0.088
KIC 10322568,22.154,0.063
KIC 5430495,22.151,0.252
KIC 9785579,22.147,0.439
TYC 3126-531-1,22.121,0.113
KIC 6613542,22.098,0.089
KIC 8552050,22.096,0.079
KIC 12066749,22.093,0.055
KIC 4059037,22.087,0.425
KIC 9991488,22.084,0.03
KIC 10197916,22.079,0.074
KIC 2692818,22.07,0.08
KIC 10331764,22.067,0.509
KIC 5446657,22.066,0.163
KIC 8301866,22.06,0.094
KIC 8096062,22.054,0.091
KIC 10069078,22.054,0.201
KIC 6214118,22.046,0.123
KIC 12353780,22.046,0.116
KIC 4673262,22.044,0.053
KIC 6850360,22.036,0.221
KIC 4557559,22.03,0.164
KOI-5402,22.029,0.417
KIC 8248927,22.029,0.143
KIC 2451734,22.026,0.204
KIC 10910381,22.01,0.328
KIC 9071425,22.009,0.714
KIC 12119841,22.004,0.023
KIC 2860135,21.995,0.034
TYC 3556-392-1,21.994,0.723
KIC 11405788,21.99,0.125
KIC 2018930,21.983,0.276
KIC 4751558,21.975,0.191
KIC 5809564,21.973,0.044
KIC 6470646,21.967,0.08
KIC 6067321,21.943,0.22
KIC 4768671,21.938,0.091
KIC 7905702,21.926,0.435
KIC 8329506,21.92,0.202
KIC 11134171,21.911,0.097
KIC 10866943,21.901,0.092
KIC 2834564,21.875,0.599
KIC 11295383,21.875,0.115
KIC 10844478,21.867,0.034
KIC 7875008,21.865,0.083
KIC 12734424,21.823,0.6
KIC 7504207,21.81,0.076
KIC 8500137,21.805,0.257
KIC 7882229,21.796,0.927
KIC 9473359,21.794,0.039
KIC 11134412,21.792,0.251
KIC 7662514,21.788,0.171
KIC 5695600,21.786,0.144
KIC 2445992,21.778,0.248
KIC 9329177,21.772,0.175
KIC 10094872,21.772,4.461
KIC 4650270,21.767,0.1
KIC 10802441,21.766,0.07
KIC 10130595,21.757,0.085
KIC 9518205,21.756,0.281
KIC 10064522,21.755,0.062
KIC 9944357,21.74,0.186
KIC 7586560,21.738,0.081
KIC 12020341,21.735,0.846
KIC 6032907,21.733,0.366
KIC 5781559,21.728,0.307
KIC 10843566,21.724,0.112
KIC 6192309,21.715,0.032
KIC 2425185,21.714,0.125
KIC 6362964,21.704,0.049
KIC 8234226,21.687,0.765
KIC 5182799,21.68,0.06
KIC 11766769,21.68,0.04
KIC 11299520,21.676,0.048
KIC 9996478,21.662,0.059
KIC 11819808,21.661,0.726
TYC 3142-1671-1,21.648,0.54
KIC 10845211,21.644,0.107
KIC 4912729,21.642,0.692
KIC 11858962,21.638,0.013
KIC 11033283,21.634,0.093
KIC 7511658,21.621,0.027
KIC 2989438,21.621,0.155
KIC 4824868,21.603,0.025
KIC 9142888,21.589,0.195
KIC 8177976,21.589,0.126
KIC 8871360,21.588,0.051
KIC 8360515,21.57,0.21
KIC 5566839,21.558,0.267
KIC 10005609,21.55,0.119
KOI-5555,21.548,0.044
KIC 11463171,21.547,0.039
KIC 5281811,21.546,0.099
KIC 12506285,21.546,0.241
KIC 10528932,21.539,0.027
KIC 2020185,21.537,0.1
KIC 10008087,21.537,0.045
KIC 12458748,21.536,0.046
KIC 8613545,21.535,0.075
KIC 10081884,21.532,0.113
KIC 5907881,21.49,0.833
KIC 9002248,21.476,0.225
KIC 11401745,21.471,0.285
KIC 7752035,21.459,0.031
KIC 7552838,21.456,0.161
KIC 7363664,21.456,0.063
KIC 5555629,21.455,0.117
KIC 6287968,21.451,0.091
KIC 3940630,21.437,0.139
KIC 2858531,21.435,0.21
KIC 9227629,21.43,0.283
KIC 8715306,21.429,0.411
KIC 12419051,21.429,0.084
KIC 3647409,21.425,0.07
KIC 8377279,21.424,0.026
KIC 2854518,21.415,0.011
KIC 6211103,21.408,0.185
KIC 4641091,21.405,0.073
KIC 9718187,21.403,0.379
KIC 6445061,21.397,0.583
KIC 10843577,21.387,0.053
KIC 3766048,21.38,0.165
KIC 9575777,21.377,0.048
KIC 4241726,21.368,0.094
KIC 5438146,21.365,0.134
KIC 5301216,21.357,0.187
KIC 5623991,21.341,0.481
KIC 12834265,21.334,0.042
KIC 4764938,21.327,0.106
KIC 8570781,21.321,0.212
KIC 5638494,21.318,0.315
KIC 5961866,21.31,0.18
KIC 6542487,21.305,0.063
KIC 5193112,21.296,0.03
KIC 11874061,21.292,0.124
KIC 6516879,21.286,0.033
KIC 4155694,21.281,0.029
KIC 6047786,21.273,0.313
KIC 5559280,21.256,0.138
KIC 6696016,21.252,0.01
KIC 10537965,21.249,0.077
KIC 8226949,21.243,0.341
KIC 11141115,21.238,0.047
KIC 6042361,21.225,0.524
KIC 10733418,21.223,0.292
KIC 10992844,21.222,0.594
KIC 4647309,21.214,0.069
KIC 8956929,21.209,0.038
KIC 8395082,21.207,0.053
KIC 9818169,21.204,0.21
KIC 6871865,21.204,0.355
KIC 6974205,21.195,0.054
KIC 7122834,21.185,0.259
KIC 6881138,21.18,0.127
KIC 8584206,21.179,0.336
KIC 10001733,21.166,0.033
KIC 6128867,21.164,0.052
KIC 5000815,21.162,0.066
KIC 6868860,21.155,0.277
KIC 7092721,21.147,0.227
KIC 6302523,21.138,0.057
KIC 10284914,21.137,0.122
KIC 12258063,21.136,0.092
KIC 10796302,21.133,0.249
KIC 4066814,21.116,0.201
KIC 5818042,21.109,0.11
KIC 6591649,21.098,0.336
KIC 8483588,21.085,0.099
KIC 9513524,21.08,0.192
KIC 9472157,21.072,0.758
KIC 5694957,21.07,0.197
KIC 5551661,21.066,0.051
KIC 7904822,21.06,0.33
KIC 11767631,21.047,0.114
KIC 9821105,21.045,0.343
KIC 6131077,21.04,0.193
KIC 12834006,21.033,0.138
KIC 12315105,21.026,0.527
KIC 4664200,21.021,0.43
KIC 4352127,21.019,0.123
TYC 3540-2440-1,21.014,0.537
KIC 9513589,21.011,0.224
KIC 2848973,21.005,0.149
KIC 8612667,20.995,0.352
KIC 8431457,20.994,0.199
KIC 9840159,20.992,0.335
KIC 3855009,20.989,0.112
KIC 9282882,20.985,0.151
KIC 4919241,20.985,0.123
KIC 9414492,20.98,0.095
KIC 3945594,20.98,0.134
KIC 6705695,20.976,0.095
KIC 8672566,20.975,0.247
KIC 4739906,20.959,0.061
KIC 6803555,20.952,0.078
KIC 12056118,20.948,0.129
KIC 4827161,20.946,0.067
KIC 4137929,20.946,0.099
KIC 6870449,20.944,0.069
KIC 6447465,20.943,0.422
KIC 4750909,20.942,0.164
KIC 10788819,20.934,0.178
KIC 8027108,20.931,0.105
BOKS 51757,20.931,0.042
TYC 3550-1621-1,20.927,0.131
KIC 7470855,20.924,0.097
KIC 7802727,20.923,0.154
KIC 7211594,20.922,0.118
KIC 11087626,20.919,0.104
BD+39  3689,20.915,0.101
KIC 5172170,20.913,0.1
KIC 7621019,20.909,0.107
KIC 10977229,20.906,0.1
KIC 11618165,20.904,0.039
KIC 10406828,20.901,0.451
KIC 3442285,20.895,0.105
KIC 7201931,20.893,3.742
KIC 6676643,20.886,0.05
KIC 8741502,20.885,0.093
KIC 10148291,20.884,0.119
KIC 6132134,20.882,0.041
KIC 12454486,20.882,0.159
KIC 9452921,20.88,0.213
KIC 4909364,20.88,0.05
KIC 12104469,20.876,0.021
KIC 8896112,20.874,0.14
KIC 8500291,20.87,0.159
KOI-5216,20.862,0.114
KIC 11303267,20.86,0.054
KIC 11464330,20.858,0.108
KIC 2449818,20.855,0.072
KIC 6867420,20.853,0.207
KIC 2447586,20.842,0.096
KIC 7871678,20.84,0.113
KIC 10119326,20.837,0.309
TYC 3129-2518-1,20.836,0.091
KIC 8748526,20.836,0.134
KIC 6387843,20.821,0.911
KIC 9843283,20.809,0.631
KIC 10580888,20.809,0.15
KIC 9118518,20.808,0.049
KIC 4645792,20.804,0.062
KIC 4740019,20.797,0.163
KIC 9024869,20.794,0.175
KIC 9834236,20.784,0.105
KIC 5371918,20.781,0.075
KIC 9395873,20.778,0.126
KIC 8625726,20.777,0.198
KIC 4179525,20.777,0.075
KIC 11136077,20.774,0.302
KIC 12417597,20.751,0.191
KIC 3658413,20.749,0.31
KIC 10526849,20.733,0.167
KIC 11519885,20.723,0.537
KIC 7659305,20.721,0.377
KIC 5472644,20.711,0.083
KIC 8492880,20.709,0.096
KIC 10202419,20.705,0.025
KIC 9518982,20.702,0.106
KIC 5950533,20.702,0.093
KIC 9964354,20.701,0.25
KIC 8760541,20.7,0.145
KIC 10018322,20.697,0.042
KIC 8046690,20.692,0.233
KIC 9455694,20.689,0.053
KIC 5389826,20.689,0.244
KIC 8759399,20.688,0.08
KIC 8076459,20.688,0.2
KIC 7427957,20.671,0.097
KIC 2301367,20.66,0.427
KIC 10124435,20.655,0.052
KIC 8246666,20.65,0.158
KIC 7435701,20.648,0.053
KIC 3553456,20.642,1.224
KIC 8815006,20.621,0.43
KIC 9091940,20.611,0.156
KIC 9573527,20.608,0.039
KIC 4139476,20.591,0.094
