FolderLabel,Name,Teff,e_Teff,Logg,e_Logg,FeH,e_FeH,Kepler Mag,e_Kepler Mag,Parallax,e_Parallax
166,Kepler-910,6229.5,60,4.162,0.1,0.139,0.04,11.6,0.1,2.469842788,0.030315618
167,Kepler-322,5413.8,60,4.646,0.1,0.125,0.04,13.53,0.1,2.468167453,0.016217887
168,Kepler-104,5760.4,60,4.365,0.1,-0.422,0.04,12.596,0.1,2.466565391,0.027398365
169,Kepler-97,5772.9,60,4.454,0.1,-0.155,0.04,12.872,0.1,2.465629755,0.021744556
170,KOI-4469,4909.3,60,4.587,0.1,0.075,0.04,14.251,0.1,2.463011756,0.016774218
171,KOI-2925,5443.5,60,4.506,0.1,0.198,0.04,13.458,0.1,2.458897389,0.014980861
172,Kepler-1583,5471.2,60,4.253,0.1,-0.009,0.04,12.897,0.1,2.446846274,0.017663522
173,Kepler-271,5469.8,60,4.521,0.1,-0.174,0.04,13.404,0.1,2.44325871,0.023119462
174,Kepler-1027,5403.8,60,4.618,0.1,0.05,0.04,12.852,0.1,2.440050223,0.029735191
175,KOI-4098,4986.1,60,4.645,0.1,-0.068,0.04,13.875,0.1,2.423735743,0.107530446
176,KOI-3190,5998.9,60,4.343,0.1,-0.174,0.04,11.458,0.1,2.419282678,0.025816875
177,Kepler-129,5808.5,60,4.016,0.1,0.256,0.04,11.696,0.1,2.417322918,0.025846894
178,KOI-288,6221.3,60,4.051,0.1,0.216,0.04,11.02,0.1,2.413656005,0.025003069
179,KOI-2219,4995.9,60,4.533,0.1,0.143,0.04,14.099,0.1,2.412652998,0.019695371
180,Kepler-1012,5500.2,60,4.527,0.1,0.231,0.04,13.317,0.1,2.403751106,0.013716946
181,Kepler-962,5450.2,60,4.679,0.1,0.049,0.04,13.576,0.1,2.40134377,0.013481363
182,KOI-2712,6354.4,60,4.189,0.1,0.256,0.04,11.125,0.1,2.391471303,0.030483046
183,Kepler-414,5566.6,60,4.568,0.1,0.181,0.04,13.338,0.1,2.389828433,0.017426471
184,Kepler-601,5048,60,4.5,0.1,-0.152,0.04,14.005,0.1,2.381780401,0.01394612
185,Kepler-1222,5065.4,60,4.587,0.1,-0.063,0.04,14.1,0.1,2.37960078,0.018516269
186,Kepler-1179,5132.5,60,4.635,0.1,-0.117,0.04,14.077,0.1,2.379583732,0.01464316
187,Kepler-1541,5210,60,4.565,0.1,-0.066,0.04,13.801,0.1,2.370982855,0.014493213
188,Kepler-1114,5268.8,60,4.549,0.1,-0.134,0.04,13.747,0.1,2.361150042,0.016189912
189,Kepler-124,4959.7,60,4.453,0.1,-0.462,0.04,14.139,0.1,2.351872023,0.017016704
190,Kepler-1081,5272.6,60,4.489,0.1,0.177,0.04,13.746,0.1,2.350896202,0.015601792
191,Kepler-136,6247.8,60,4.272,0.1,0.069,0.04,12.459,0.1,2.347762984,0.024344378
192,Kepler-888,5738.7,60,4.51,0.1,-0.321,0.04,13.046,0.1,2.347543525,0.017914422
193,Kepler-1285,6212.6,60,4.259,0.1,0.192,0.04,11.714,0.1,2.339377882,0.018609268
194,KOI-4296,5569.2,60,4.557,0.1,-0.497,0.04,13.03,0.1,2.335068658,0.017367165
